Activity,Timestamp,Value
Weight Recorded,5/30 9:16AM,8.2 lbs
Weight Recorded,5/30 8:25AM,12.6 lbs
Weight Recorded,5/30 8:09AM,10.9 lbs
Weight Recorded,5/30 4:40AM,12.7 lbs
Weight Recorded,5/30 12:38AM,8.2 lbs
Weight Recorded,5/29 8:08PM,8.2 lbs
Weight Recorded,5/29 6:00PM,12.0 lbs
Weight Recorded,5/29 2:42PM,10.6 lbs
Weight Recorded,5/29 1:12PM,10.7 lbs
Weight Recorded,5/29 12:04PM,12.5 lbs
Weight Recorded,5/29 9:10AM,8.1 lbs
Weight Recorded,5/29 4:40AM,12.5 lbs
Weight Recorded,5/29 2:47AM,12.4 lbs
Weight Recorded,5/29 12:03AM,10.7 lbs
Weight Recorded,5/28 11:43PM,7.9 lbs
Weight Recorded,5/28 10:51PM,12.7 lbs
Weight Recorded,5/28 7:30PM,8.0 lbs
Weight Recorded,5/28 6:19PM,7.8 lbs
Weight Recorded,5/28 5:49PM,10.5 lbs
Weight Recorded,5/28 5:31PM,12.7 lbs
Weight Recorded,5/28 9:24AM,8.3 lbs
Weight Recorded,5/28 7:49AM,12.3 lbs
Weight Recorded,5/28 5:20AM,10.6 lbs
Weight Recorded,5/28 4:35AM,12.7 lbs
Weight Recorded,5/27 9:42PM,10.6 lbs
Weight Recorded,5/27 7:54PM,12.5 lbs
Weight Recorded,5/27 6:38PM,7.8 lbs
Weight Recorded,5/27 5:23PM,12.5 lbs
Weight Recorded,5/27 10:37AM,11.8 lbs
Weight Recorded,5/27 10:09AM,10.4 lbs
Weight Recorded,5/27 10:06AM,10.6 lbs
Weight Recorded,5/27 5:53AM,12.4 lbs
Weight Recorded,5/27 5:03AM,7.9 lbs
Weight Recorded,5/27 12:48AM,8.0 lbs
Weight Recorded,5/26 10:41PM,10.7 lbs
Weight Recorded,5/26 8:46PM,12.7 lbs
Weight Recorded,5/26 9:05AM,7.8 lbs
Weight Recorded,5/26 8:39AM,11.7 lbs
Weight Recorded,5/26 8:08AM,10.5 lbs
Weight Recorded,5/26 8:05AM,10.6 lbs
Weight Recorded,5/26 7:12AM,12.4 lbs
Weight Recorded,5/26 1:46AM,8.1 lbs
Weight Recorded,5/25 10:49PM,12.6 lbs
Weight Recorded,5/25 8:12PM,10.8 lbs
Weight Recorded,5/25 12:41PM,12.6 lbs
Weight Recorded,5/25 12:05PM,8.2 lbs
Weight Recorded,5/25 11:23AM,6.1 lbs
Weight Recorded,5/25 11:18AM,11.5 lbs
Weight Recorded,5/25 8:46AM,10.6 lbs
Weight Recorded,5/25 1:02AM,12.3 lbs
Weight Recorded,5/25 12:53AM,7.9 lbs
Weight Recorded,5/25 12:32AM,10.7 lbs
Weight Recorded,5/24 10:38PM,11.5 lbs
Weight Recorded,5/24 6:34PM,8.2 lbs
Weight Recorded,5/24 1:34PM,10.4 lbs
Weight Recorded,5/24 1:24PM,11.5 lbs
Weight Recorded,5/24 11:48AM,8.0 lbs
Weight Recorded,5/24 11:25AM,12.3 lbs
Weight Recorded,5/24 9:32AM,10.3 lbs
Weight Recorded,5/24 9:27AM,10.3 lbs
Weight Recorded,5/24 8:22AM,7.9 lbs
Weight Recorded,5/24 6:27AM,12.3 lbs
Weight Recorded,5/23 11:59PM,8.1 lbs
Weight Recorded,5/23 10:23PM,10.5 lbs
Weight Recorded,5/23 10:16PM,11.6 lbs
Weight Recorded,5/23 9:44PM,12.5 lbs
Weight Recorded,5/23 5:15PM,10.3 lbs
Weight Recorded,5/23 3:46PM,12.3 lbs
Weight Recorded,5/23 3:21PM,8.1 lbs
Weight Recorded,5/23 8:13AM,8.1 lbs
Weight Recorded,5/23 6:38AM,11.5 lbs
Weight Recorded,5/23 6:30AM,12.4 lbs
Weight Recorded,5/23 6:06AM,10.4 lbs
Weight Recorded,5/23 2:57AM,8.0 lbs
Weight Recorded,5/23 2:05AM,12.6 lbs
Weight Recorded,5/22 10:17PM,10.3 lbs
Weight Recorded,5/22 10:06PM,8.0 lbs
Weight Recorded,5/22 6:29PM,12.3 lbs
Weight Recorded,5/22 4:52PM,7.9 lbs
Weight Recorded,5/22 11:34AM,7.8 lbs
Weight Recorded,5/22 10:42AM,10.5 lbs
Weight Recorded,5/22 10:31AM,8.1 lbs
Weight Recorded,5/22 9:32AM,11.5 lbs
Weight Recorded,5/22 8:20AM,10.5 lbs
Weight Recorded,5/22 7:56AM,11.5 lbs
Weight Recorded,5/22 7:34AM,12.1 lbs
Weight Recorded,5/22 6:07AM,7.9 lbs
Weight Recorded,5/22 1:33AM,7.7 lbs
Weight Recorded,5/22 12:44AM,12.6 lbs
Weight Recorded,5/21 11:55PM,10.5 lbs
Weight Recorded,5/21 11:44PM,8.1 lbs
Weight Recorded,5/21 10:40PM,12.3 lbs
Weight Recorded,5/21 6:26PM,12.4 lbs
Weight Recorded,5/21 2:58PM,7.7 lbs
Weight Recorded,5/21 7:28AM,10.3 lbs
Weight Recorded,5/21 7:13AM,11.5 lbs
Weight Recorded,5/21 6:25AM,12.1 lbs
Weight Recorded,5/21 12:51AM,8.2 lbs
Weight Recorded,5/20 8:29PM,12.1 lbs
Weight Recorded,5/20 8:14PM,10.6 lbs
Weight Recorded,5/20 11:08AM,4.8 lbs
Weight Recorded,5/20 9:33AM,12.4 lbs
Weight Recorded,5/20 9:25AM,12.1 lbs
Weight Recorded,5/20 9:09AM,12.3 lbs
Weight Recorded,5/20 5:44AM,12.3 lbs
Weight Recorded,5/20 5:26AM,12.5 lbs
Weight Recorded,5/20 4:56AM,12.4 lbs
Weight Recorded,5/20 4:52AM,10.7 lbs
Weight Recorded,5/20 4:16AM,13.0 lbs
Weight Recorded,5/19 11:57PM,8.3 lbs
Weight Recorded,5/19 8:51PM,10.7 lbs
Weight Recorded,5/19 6:49PM,10.0 lbs
Weight Recorded,5/19 5:47PM,12.0 lbs
Weight Recorded,5/19 5:08PM,12.5 lbs
Weight Recorded,5/19 10:37AM,10.8 lbs
Weight Recorded,5/19 9:27AM,8.3 lbs
Weight Recorded,5/19 8:24AM,12.7 lbs
Weight Recorded,5/19 4:46AM,12.9 lbs
Weight Recorded,5/19 1:24AM,8.3 lbs
Weight Recorded,5/19 12:38AM,10.6 lbs
Weight Recorded,5/19 12:23AM,10.8 lbs
Weight Recorded,5/18 6:12PM,7.8 lbs
Weight Recorded,5/18 3:20PM,11.9 lbs
Weight Recorded,5/18 2:00PM,12.7 lbs
Weight Recorded,5/18 10:48AM,10.3 lbs
Weight Recorded,5/18 6:15AM,7.9 lbs
Weight Recorded,5/18 4:59AM,10.4 lbs
Weight Recorded,5/18 4:54AM,12.7 lbs
Weight Recorded,5/18 12:57AM,8.0 lbs
Weight Recorded,5/18 12:06AM,10.6 lbs
Weight Recorded,5/17 8:55PM,12.5 lbs
Weight Recorded,5/17 8:38PM,10.6 lbs
Weight Recorded,5/17 4:50PM,8.0 lbs
Weight Recorded,5/17 11:36AM,12.5 lbs
Weight Recorded,5/17 11:32AM,7.8 lbs
Weight Recorded,5/17 8:32AM,8.1 lbs
Weight Recorded,5/17 6:25AM,10.4 lbs
Weight Recorded,5/17 5:34AM,12.2 lbs
Weight Recorded,5/17 5:28AM,11.9 lbs
Weight Recorded,5/17 1:27AM,8.3 lbs
Weight Recorded,5/17 12:32AM,13.0 lbs
Weight Recorded,5/16 11:05PM,10.6 lbs
Weight Recorded,5/16 10:17PM,10.2 lbs
Weight Recorded,5/16 9:26PM,8.1 lbs
Weight Recorded,5/16 9:02PM,8.0 lbs
Weight Recorded,5/16 7:43PM,11.9 lbs
Weight Recorded,5/16 5:12PM,8.0 lbs
Weight Recorded,5/16 4:07PM,12.8 lbs
Weight Recorded,5/16 10:51AM,8.1 lbs
Weight Recorded,5/16 7:03AM,10.4 lbs
Weight Recorded,5/16 4:52AM,12.7 lbs
Weight Recorded,5/16 3:24AM,8.1 lbs
Weight Recorded,5/16 2:15AM,8.0 lbs
Weight Recorded,5/15 8:35PM,11.9 lbs
Weight Recorded,5/15 6:34PM,7.8 lbs
Weight Recorded,5/15 6:23PM,10.1 lbs
Weight Recorded,5/15 6:03PM,10.6 lbs
Weight Recorded,5/15 5:44PM,12.4 lbs
Weight Recorded,5/15 8:14AM,8.2 lbs
Weight Recorded,5/15 5:44AM,9.9 lbs
